position_x:0.0 position_y:0.0 position_z:1.1752700805664062
position_x:31.497385025024414 position_y:3.3892574310302734 position_z:-2.5968594551086426
position_x:31.922143936157227 position_y:3.6378703117370605 position_z:-2.539806365966797
position_x:32.36008071899414 position_y:3.889204502105713 position_z:-2.4061436653137207
position_x:32.802406311035156 position_y:4.132648944854736 position_z:-2.2512047290802
position_x:33.239418029785156 position_y:4.358727931976318 position_z:-2.15028977394104
position_x:33.8466911315918 position_y:4.661131381988525 position_z:-2.0765206813812256
position_x:34.28474426269531 position_y:4.875190258026123 position_z:-1.9609593152999878
position_x:34.7375373840332 position_y:5.093212604522705 position_z:-1.799509882926941
position_x:35.20089340209961 position_y:5.315049171447754 position_z:-1.6208219528198242
position_x:35.63942337036133 position_y:5.524224281311035 position_z:-1.5091757774353027
position_x:36.309471130371094 position_y:5.854245185852051 position_z:-1.4284290075302124
position_x:36.73163604736328 position_y:6.067933082580566 position_z:-1.3536789417266846
position_x:37.15159225463867 position_y:6.28648042678833 position_z:-1.2976645231246948
position_x:37.55519104003906 position_y:6.504675388336182 position_z:-1.2812429666519165
position_x:37.96550750732422 position_y:6.734292507171631 position_z:-1.2648303508758545
position_x:38.5765380859375 position_y:7.089354991912842 position_z:-1.2453217506408691
position_x:38.99056625366211 position_y:7.337874889373779 position_z:-1.1813089847564697
position_x:39.43272018432617 position_y:7.617076873779297 position_z:-1.1074659824371338
position_x:39.851444244384766 position_y:7.892756462097168 position_z:-1.0530287027359009
position_x:40.265621185302734 position_y:8.173830032348633 position_z:-1.0747472047805786
position_x:40.805992126464844 position_y:8.54405689239502 position_z:-1.226499080657959
position_x:41.20991134643555 position_y:8.821842193603516 position_z:-1.4339592456817627
position_x:41.64387893676758 position_y:9.11929702758789 position_z:-1.6767510175704956
position_x:42.04819869995117 position_y:9.398187637329102 position_z:-1.8579668998718262
position_x:42.46963882446289 position_y:9.691761016845703 position_z:-1.9786065816879272
position_x:43.04611587524414 position_y:10.104411125183105 position_z:-2.1041464805603027
position_x:43.44129943847656 position_y:10.401410102844238 position_z:-2.1551513671875
position_x:43.815616607666016 position_y:10.708324432373047 position_z:-2.2457435131073
position_x:44.15449142456055 position_y:11.003833770751953 position_z:-2.314436435699463
position_x:44.473907470703125 position_y:11.30129337310791 position_z:-2.369319438934326
position_x:44.83234786987305 position_y:11.648983001708984 position_z:-2.3532216548919678
position_x:45.12940216064453 position_y:11.945554733276367 position_z:-2.2578940391540527
position_x:45.43651580810547 position_y:12.264850616455078 position_z:-2.100227117538452
position_x:45.710750579833984 position_y:12.552433967590332 position_z:-1.985925316810608
position_x:45.97697448730469 position_y:12.823490142822266 position_z:-1.9446395635604858
position_x:46.287841796875 position_y:13.122878074645996 position_z:-1.917722225189209
position_x:46.52956771850586 position_y:13.342920303344727 position_z:-1.8239611387252808
position_x:46.7760124206543 position_y:13.538900375366211 position_z:-1.7010778188705444
position_x:47.043148040771484 position_y:13.709729194641113 position_z:-1.5790458917617798
position_x:47.304569244384766 position_y:13.852481842041016 position_z:-1.4219692945480347
position_x:47.63460159301758 position_y:13.98175048828125 position_z:-1.2756916284561157
position_x:47.890586853027344 position_y:14.03923511505127 position_z:-1.2011961936950684
position_x:48.16008377075195 position_y:14.07227897644043 position_z:-1.1046888828277588
position_x:48.43077850341797 position_y:14.081113815307617 position_z:-1.0056641101837158
position_x:48.704864501953125 position_y:14.068581581115723 position_z:-0.9312376379966736
position_x:49.10916519165039 position_y:13.99399471282959 position_z:-0.9454926252365112
position_x:49.44477462768555 position_y:13.894062042236328 position_z:-1.0007134675979614
position_x:49.808021545410156 position_y:13.75912857055664 position_z:-1.126013994216919
position_x:50.1859245300293 position_y:13.605037689208984 position_z:-1.2871278524398804
position_x:50.57216262817383 position_y:13.441615104675293 position_z:-1.4432299137115479
position_x:51.097625732421875 position_y:13.215289115905762 position_z:-1.7247251272201538
position_x:51.53130340576172 position_y:13.03174114227295 position_z:-1.9391051530838013
position_x:51.96209716796875 position_y:12.8557710647583 position_z:-2.1404519081115723
position_x:52.39515686035156 position_y:12.688860893249512 position_z:-2.2878336906433105
position_x:52.83222198486328 position_y:12.539916038513184 position_z:-2.389423131942749
position_x:53.349327087402344 position_y:12.397993087768555 position_z:-2.509535789489746
position_x:53.7777214050293 position_y:12.302050590515137 position_z:-2.5747251510620117
position_x:54.22774124145508 position_y:12.226227760314941 position_z:-2.6258187294006348
position_x:54.67805480957031 position_y:12.176617622375488 position_z:-2.6874706745147705
position_x:55.116024017333984 position_y:12.153907775878906 position_z:-2.7498230934143066
position_x:55.716739654541016 position_y:12.175079345703125 position_z:-2.9325170516967773
position_x:56.21809387207031 position_y:12.217606544494629 position_z:-3.1045048236846924
position_x:56.702308654785156 position_y:12.27487850189209 position_z:-3.3139727115631104
position_x:57.18450927734375 position_y:12.335012435913086 position_z:-3.4982166290283203
position_x:57.66035842895508 position_y:12.394582748413086 position_z:-3.760457754135132
position_x:58.29478454589844 position_y:12.46587085723877 position_z:-4.186131954193115
position_x:58.77470016479492 position_y:12.50843334197998 position_z:-4.483509540557861
position_x:59.28430938720703 position_y:12.531376838684082 position_z:-4.8069167137146
position_x:59.78325271606445 position_y:12.542731285095215 position_z:-5.050622463226318
position_x:60.271026611328125 position_y:12.54228401184082 position_z:-5.253164768218994
position_x:60.84498977661133 position_y:12.53305721282959 position_z:-5.472147464752197
position_x:61.30986022949219 position_y:12.525665283203125 position_z:-5.683342456817627
position_x:61.78360366821289 position_y:12.520256996154785 position_z:-5.896114349365234
position_x:62.2198371887207 position_y:12.521397590637207 position_z:-6.038499355316162
position_x:62.64797592163086 position_y:12.529664039611816 position_z:-6.130657196044922
position_x:63.17609405517578 position_y:12.545912742614746 position_z:-6.170366287231445
position_x:63.59113311767578 position_y:12.560463905334473 position_z:-6.127427101135254
position_x:64.01612854003906 position_y:12.575523376464844 position_z:-6.020264148712158
position_x:64.38653564453125 position_y:12.592508316040039 position_z:-5.885974884033203
